Year,State,Beverage Type,Beverage Gallon,Ethanol Gallon,Population(>14),Average(>14),Decile(>14),Population(>21),Average(>21),Decile(>21),Source,ABV,Ethanol by ABV
1970,Iowa,Spirits,3153000.0,1418850,2076000,6835,10.0,1699000,8351,10.0,,,
1970,Iowa,Wine,780000.0,124800,2076000,601,10.0,1699000,735,10.0,,,
1970,Iowa,Beer,50294000.0,2263230,2076000,10902,7.0,1699000,13321,7.0,,,
1970,Iowa,All Beverages,,3806880,2076000,18338,8.0,1699000,22407,8.0,,,
1970,Kansas,Spirits,2410000.0,1084500,1678000,6463,10.0,1373000,7899,10.0,,,
1970,Kansas,Wine,963000.0,154080,1678000,918,9.0,1373000,1122,9.0,,,
1970,Kansas,Beer,31852000.0,1433340,1678000,8542,9.0,1373000,10439,9.0,,,
1970,Kansas,All Beverages,,2671920,1678000,15923,10.0,1373000,19460,10.0,,,
1970,Kentucky,Spirits,4420000.0,1989000,2363000,8417,8.0,1918000,10370,8.0,,,
1970,Kentucky,Wine,1222000.0,195520,2363000,827,10.0,1918000,1019,10.0,,,
1970,Kentucky,Beer,49079000.0,2208555,2363000,9346,8.0,1918000,11515,8.0,,,
1970,Kentucky,All Beverages,,4393075,2363000,18591,8.0,1918000,22904,8.0,,,
1970,Louisiana,Spirits,5195000.0,2337750,2567000,9107,7.0,2041000,11454,7.0,,,
1970,Louisiana,Wine,4593000.0,734880,2567000,2863,4.0,2041000,3601,4.0,,,
1970,Louisiana,Beer,68578000.0,3086010,2567000,12022,4.0,2041000,15120,4.0,,,
1970,Louisiana,All Beverages,,6158640,2567000,23992,6.0,2041000,30175,6.0,,,
1970,Maine,Spirits,1668000.0,750600,727000,10325,5.0,597000,12573,6.0,,,
1970,Maine,Wine,439000.0,70240,727000,966,9.0,597000,1177,9.0,,,
1970,Maine,Beer,19981000.0,899145,727000,12368,3.0,597000,15061,4.0,,,
1970,Maine,All Beverages,,1719985,727000,23659,6.0,597000,28810,6.0,,,
1970,Maryland,Spirits,8748000.0,3936600,2842000,13852,2.0,2342000,16809,2.0,,,
1970,Maryland,Wine,4502000.0,720320,2842000,2535,4.0,2342000,3076,5.0,,,
1970,Maryland,Beer,82602000.0,3717090,2842000,13079,2.0,2342000,15871,2.0,,,
1970,Maryland,All Beverages,,8374010,2842000,29465,2.0,2342000,35756,2.0,,,
1970,Massachusetts,Spirits,12732000.0,5729400,4229000,13548,3.0,3507000,16337,3.0,,,
1970,Massachusetts,Wine,7925000.0,1268000,4229000,2998,4.0,3507000,3616,4.0,,,
1970,Massachusetts,Beer,107655000.0,4844475,4229000,11455,6.0,3507000,13814,6.0,,,
1970,Massachusetts,All Beverages,,11841875,4229000,28002,3.0,3507000,33766,4.0,,,
1970,Michigan,Spirits,15056000.0,6775200,6359000,10655,5.0,5146000,13166,5.0,,,
1970,Michigan,Wine,9517000.0,1522720,6359000,2395,5.0,5146000,2959,5.0,,,
1970,Michigan,Beer,193944000.0,8727480,6359000,13725,2.0,5146000,16960,2.0,,,
1970,Michigan,All Beverages,,17025400,6359000,26774,4.0,5146000,33085,4.0,,,
1970,Minnesota,Spirits,7484000.0,3367800,2735000,12314,4.0,2219000,15177,4.0,,,
1970,Minnesota,Wine,2692000.0,430720,2735000,1575,6.0,2219000,1941,7.0,,,
1970,Minnesota,Beer,69288000.0,3117960,2735000,11400,6.0,2219000,14051,6.0,,,
1970,Minnesota,All Beverages,,6916480,2735000,25289,5.0,2219000,31169,5.0,,,
1970,Mississippi,Spirits,2458000.0,1106100,1568000,7054,9.0,1242000,8906,9.0,,,
1970,Mississippi,Wine,797000.0,127520,1568000,813,10.0,1242000,1027,10.0,,,
1970,Mississippi,Beer,28648000.0,1289160,1568000,8222,9.0,1242000,10380,9.0,,,
1970,Mississippi,All Beverages,,2522780,1568000,16089,9.0,1242000,20312,9.0,,,
1970,Missouri,Spirits,7724000.0,3475800,3479000,9991,6.0,2879000,12073,7.0,,,
1970,Missouri,Wine,4228000.0,676480,3479000,1944,6.0,2879000,2350,6.0,,,
1970,Missouri,Beer,86940000.0,3912300,3479000,11245,6.0,2879000,13589,7.0,,,
1970,Missouri,All Beverages,,8064580,3479000,23181,7.0,2879000,28012,7.0,,,
1970,Montana,Spirits,1145000.0,515250,502000,10264,6.0,405000,12722,6.0,,,
1970,Montana,Wine,418000.0,66880,502000,1332,8.0,405000,1651,8.0,,,
1970,Montana,Beer,17179000.0,773055,502000,15400,1.0,405000,19088,1.0,,,
1970,Montana,All Beverages,,1355185,502000,26996,4.0,405000,33461,4.0,,,
1970,Nebraska,Spirits,2463000.0,1108350,1093000,10140,6.0,894000,12398,6.0,,,
1970,Nebraska,Wine,902000.0,144320,1093000,1320,8.0,894000,1614,8.0,,,
1970,Nebraska,Beer,31183000.0,1403235,1093000,12838,3.0,894000,15696,3.0,,,
1970,Nebraska,All Beverages,,2655905,1093000,24299,6.0,894000,29708,6.0,,,
1970,Nevada,Spirits,2499000.0,1124550,354000,31767,1.0,297000,37864,1.0,,,
1970,Nevada,Wine,1482000.0,237120,354000,6698,1.0,297000,7984,1.0,,,
1970,Nevada,Beer,13620000.0,612900,354000,17314,1.0,297000,20636,1.0,,,
1970,Nevada,All Beverages,,1974570,354000,55779,1.0,297000,66484,1.0,,,
1970,New,Spirits,3371000.0,1516950,537000,28249,1.0,443000,34243,1.0,,,
1970,New,Wine,1058000.0,169280,537000,3152,3.0,443000,3821,3.0,,,
1970,New,Beer,20079000.0,903555,537000,16826,1.0,443000,20396,1.0,,,
1970,New,All Beverages,,2589785,537000,48227,1.0,443000,58460,1.0,,,
1970,New,Spirits,16289000.0,7330050,5313000,13796,3.0,4459000,16439,3.0,,,
1970,New,Wine,12629000.0,2020640,5313000,3803,2.0,4459000,4532,3.0,,,
1970,New,Beer,138322000.0,6224490,5313000,11716,6.0,4459000,13959,6.0,,,
1970,New,All Beverages,,15575180,5313000,29315,3.0,4459000,34930,3.0,,,
1970,New,Spirits,1530000.0,688500,701000,9822,7.0,554000,12428,6.0,,,
1970,New,Wine,1597000.0,255520,701000,3645,3.0,554000,4612,2.0,,,
1970,New,Beer,18665000.0,839925,701000,11982,4.0,554000,15161,4.0,,,
1970,New,All Beverages,,1783945,701000,25449,5.0,554000,32201,5.0,,,
1970,New,Spirits,43365000.0,19514250,13696000,14248,2.0,11509000,16956,2.0,,,
1970,New,Wine,33994000.0,5439040,13696000,3971,1.0,11509000,4726,2.0,,,
1970,New,Beer,357617000.0,16092765,13696000,11750,5.0,11509000,13983,6.0,,,
1970,New,All Beverages,,41046055,13696000,29969,2.0,11509000,35664,2.0,,,
1970,North,Spirits,7584000.0,3412800,3734000,9140,7.0,3003000,11365,7.0,,,
1970,North,Wine,3688000.0,590080,3734000,1580,6.0,3003000,1965,6.0,,,
1970,North,Beer,59386000.0,2672370,3734000,7157,10.0,3003000,8899,10.0,,,
1970,North,All Beverages,,6675250,3734000,17877,9.0,3003000,22229,9.0,,,
1970,North,Spirits,1009000.0,454050,446000,10180,6.0,356000,12754,5.0,,,
1970,North,Wine,299000.0,47840,446000,1073,9.0,356000,1344,9.0,,,
1970,North,Beer,12038000.0,541710,446000,12146,4.0,356000,15217,3.0,,,
1970,North,All Beverages,,1043600,446000,23399,6.0,356000,29315,6.0,,,
1970,Ohio,Spirits,14046000.0,6320700,7764000,8141,8.0,6355000,9946,8.0,,,
1970,Ohio,Wine,9062000.0,1449920,7764000,1867,6.0,6355000,2282,6.0,,,
1970,Ohio,Beer,209830000.0,9442350,7764000,12162,4.0,6355000,14858,4.0,,,
1970,Ohio,All Beverages,,17212970,7764000,22170,7.0,6355000,27086,7.0,,,
1970,Oklahoma,Spirits,3568000.0,1605600,1921000,8358,8.0,1584000,10136,8.0,,,
1970,Oklahoma,Wine,1749000.0,279840,1921000,1457,7.0,1584000,1767,7.0,,,
1970,Oklahoma,Beer,33200000.0,1494000,1921000,7777,10.0,1584000,9432,10.0,,,
1970,Oklahoma,All Beverages,,3379440,1921000,17592,9.0,1584000,21335,9.0,,,
1970,Oregon,Spirits,3135000.0,1410750,1564000,9020,7.0,1284000,10987,7.0,,,
1970,Oregon,Wine,3841000.0,614560,1564000,3929,1.0,1284000,4786,1.0,,,
1970,Oregon,Beer,40798000.0,1835910,1564000,11739,6.0,1284000,14298,6.0,,,
1970,Oregon,All Beverages,,3861220,1564000,24688,6.0,1284000,30072,6.0,,,
1970,Pennsylvania,Spirits,16188000.0,7284600,8846000,8235,8.0,7357000,9902,8.0,,,
1970,Pennsylvania,Wine,10675000.0,1708000,8846000,1931,6.0,7357000,2322,6.0,,,
1970,Pennsylvania,Beer,248341000.0,11175345,8846000,12633,3.0,7357000,15190,3.0,,,
1970,Pennsylvania,All Beverages,,20167945,8846000,22799,7.0,7357000,27413,7.0,,,
1970,Rhode,Spirits,1867000.0,840150,716000,11734,4.0,592000,14192,4.0,,,
1970,Rhode,Wine,1688000.0,270080,716000,3772,2.0,592000,4562,2.0,,,
1970,Rhode,Beer,20360000.0,916200,716000,12796,3.0,592000,15476,3.0,,,
1970,Rhode,All Beverages,,2026430,716000,28302,3.0,592000,34230,3.0,,,
1970,South,Spirits,4484000.0,2017800,1859000,10854,5.0,1467000,13755,5.0,,,
1970,South,Wine,1802000.0,288320,1859000,1551,7.0,1467000,1965,6.0,,,
1970,South,Beer,32897000.0,1480365,1859000,7963,9.0,1467000,10091,9.0,,,
1970,South,All Beverages,,3786485,1859000,20368,8.0,1467000,25811,7.0,,,
1970,South,Spirits,972000.0,437400,484000,9037,7.0,387000,11302,7.0,,,
1970,South,Wine,402000.0,64320,484000,1329,8.0,387000,1662,7.0,,,
1970,South,Beer,9993000.0,449685,484000,9291,8.0,387000,11620,8.0,,,
1970,South,All Beverages,,951405,484000,19657,8.0,387000,24584,8.0,,,
1970,Tennessee,Spirits,3766000.0,1694700,2906000,5832,10.0,2378000,7127,10.0,,,
1970,Tennessee,Wine,1160000.0,185600,2906000,639,10.0,2378000,780,10.0,,,
1970,Tennessee,Beer,56240000.0,2530800,2906000,8709,8.0,2378000,10643,8.0,,,
1970,Tennessee,All Beverages,,4411100,2906000,15179,10.0,2378000,18550,10.0,,,
1970,Texas,Spirits,13282000.0,5976900,8100000,7379,9.0,6567000,9101,9.0,,,
1970,Texas,Wine,8770000.0,1403200,8100000,1732,6.0,6567000,2137,6.0,,,
1970,Texas,Beer,236125000.0,10625625,8100000,13118,2.0,6567000,16180,2.0,,,
1970,Texas,All Beverages,,18005725,8100000,22229,7.0,6567000,27418,7.0,,,
1970,Utah,Spirits,927000.0,417150,731000,5707,10.0,570000,7318,10.0,,,
1970,Utah,Wine,559000.0,89440,731000,1224,8.0,570000,1569,8.0,,,
1970,Utah,Beer,12215000.0,549675,731000,7519,10.0,570000,9643,10.0,,,
1970,Utah,All Beverages,,1056265,731000,14450,10.0,570000,18531,10.0,,,
1970,Vermont,Spirits,1240000.0,558000,322000,17329,2.0,261000,21379,1.0,,,
1970,Vermont,Wine,778000.0,124480,322000,3866,2.0,261000,4769,2.0,,,
1970,Vermont,Beer,9906000.0,445770,322000,13844,2.0,261000,17079,1.0,,,
1970,Vermont,All Beverages,,1128250,322000,35039,1.0,261000,43228,1.0,,,
1970,Virginia,Spirits,7717000.0,3472650,3418000,10160,6.0,2790000,12447,6.0,,,
1970,Virginia,Wine,4373000.0,699680,3418000,2047,5.0,2790000,2508,5.0,,,
1970,Virginia,Beer,84553000.0,3804885,3418000,11132,7.0,2790000,13638,7.0,,,
1970,Virginia,All Beverages,,7977215,3418000,23339,6.0,2790000,28592,6.0,,,
1970,Washington,Spirits,6024000.0,2710800,2520000,10757,5.0,2057000,13178,5.0,,,
1970,Washington,Wine,6148000.0,983680,2520000,3903,2.0,2057000,4782,1.0,,,
1970,Washington,Beer,66838000.0,3007710,2520000,11935,5.0,2057000,14622,5.0,,,
1970,Washington,All Beverages,,6702190,2520000,26596,5.0,2057000,32582,5.0,,,
1970,West,Spirits,1996000.0,898200,1306000,6877,9.0,1069000,8402,9.0,,,
1970,West,Wine,722000.0,115520,1306000,885,10.0,1069000,1081,10.0,,,
1970,West,Beer,25117000.0,1130265,1306000,8654,9.0,1069000,10573,9.0,,,
1970,West,All Beverages,,2143985,1306000,16416,9.0,1069000,20056,9.0,,,
1970,Wisconsin,Spirits,8867000.0,3990150,3192000,12500,4.0,2592000,15394,4.0,,,
1970,Wisconsin,Wine,4332000.0,693120,3192000,2171,5.0,2592000,2674,5.0,,,
1970,Wisconsin,Beer,121486000.0,5466870,3192000,17127,1.0,2592000,21091,1.0,,,
1970,Wisconsin,All Beverages,,10150140,3192000,31799,2.0,2592000,39159,2.0,,,
1970,Wyoming,Spirits,616000.0,277200,241000,11502,4.0,195000,14215,4.0,,,
1970,Wyoming,Wine,236000.0,37760,241000,1567,7.0,195000,1936,7.0,,,
1970,Wyoming,Beer,6867000.0,309015,241000,12822,3.0,195000,15847,3.0,,,
1970,Wyoming,All Beverages,,623975,241000,25891,5.0,195000,31999,5.0,,,
1970,Northeast Region,Spirits,103997000.0,46798650,36624000,12778,,30593000,15297,,,,
1970,Northeast Region,Wine,73912000.0,11825920,36624000,3229,,30593000,3866,,,,
1970,Northeast Region,Beer,971941000.0,43737345,36624000,11942,,30593000,14297,,,,
1970,Northeast Region,All Beverages,,102361915,36624000,27949,,30593000,33459,,,,
1970,Midwest Region,Spirits,93171000.0,41926950,41237000,10167,,33726000,12432,,,,
1970,Midwest Region,Wine,49829000.0,7972640,41237000,1933,,33726000,2364,,,,
1970,Midwest Region,Beer,1121080000.0,50448600,41237000,12234,,33726000,14958,,,,
1970,Midwest Region,All Beverages,,100348190,41237000,24335,,33726000,29754,,,,
1970,South Region,Spirits,101110000.0,45499500,45958000,9900,,37437000,12154,,,,
1970,South Region,Wine,51900000.0,8304000,45958000,1807,,37437000,2218,,,,
1970,South Region,Beer,1023368000.0,46051560,45958000,10020,,37437000,12301,,,,
1970,South Region,All Beverages,,99855060,45958000,21727,,37437000,26673,,,,
1970,West Region,Spirits,71592000.0,32216400,25577000,12596,,20966000,15366,,,,
1970,West Region,Wine,80160000.0,12825600,25577000,5015,,20966000,6117,,,,
1970,West Region,Beer,653223000.0,29395035,25577000,11493,,20966000,14020,,,,
1970,West Region,All Beverages,,74437035,25577000,29103,,20966000,35504,,,,
1970,United States,Spirits,369870000.0,166441500,149396000,11141,,122722000,13562,,,,
1970,United States,Wine,255801000.0,40928160,149396000,2740,,122722000,3335,,,,
1970,United States,Beer,3769612000.0,169632540,149396000,11355,,122722000,13823,,,,
1970,United States,All Beverages,,377002200,149396000,25235,,122722000,30720,,,,
1971,Alabama,Spirits,4332000.0,1949400,2560385,7614,9.0,2068321,9425,9.0,,,
1971,Alabama,Wine,1504000.0,240640,2560385,940,10.0,2068321,1163,10.0,,,
1971,Alabama,Beer,37598000.0,1691910,2560385,6608,10.0,2068321,8180,10.0,,,
